City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
210,tiksi,71.6872,128.8694,-32.24,97,53,3.84,RU,1677225908
211,cabo san lucas,22.8909,-109.9124,18.06,72,99,0.45,MX,1677225715
212,lata,40.1629,-8.3327,0.04,84,23,1.36,PT,1677225941
213,shenzhen,22.5455,114.0683,26.03,52,1,2.37,CN,1677226127
214,kysyl-syr,63.8986,122.7617,-26.02,96,9,1.21,RU,1677226127
215,narsaq,60.9167,-46.05,0.12,98,100,1.81,GL,1677225861
216,gazli,40.1333,63.45,12.83,40,68,5.83,UZ,1677226128
217,tornio,65.8481,24.1466,-13.99,96,50,1.49,FI,1677226128
218,witu,-2.3889,40.4382,29.09,51,11,3.49,KE,1677226129
219,ahipara,-35.1667,173.1667,16.96,85,11,2.33,NZ,1677226004
220,saint-gaudens,43.0833,0.6667,3.34,91,57,1.5,FR,1677226129
221,bandarbeyla,9.4942,50.8122,26.09,64,78,4.01,SO,1677226129
222,lorengau,-2.0226,147.2712,28.04,82,100,5.3,PG,1677225896
223,mitsamiouli,-11.3847,43.2844,28.73,68,96,1.44,KM,1677226130
224,santiago de cuba,20.0247,-75.8219,22.06,73,20,2.57,CU,1677226130
225,tres arroyos,-38.3739,-60.2798,14.42,95,0,2.2,AR,1677226131
226,mangai,-4.05,19.5333,23.35,79,100,0.84,CD,1677226131
227,yelan-kolenovskiy,51.1632,41.151,-8.33,82,100,5.53,RU,1677226131
228,platteville,42.7342,-90.4785,-10.95,79,0,0.0,US,1677225929
229,almaty,43.25,76.95,5.95,76,75,3.0,KZ,1677226132
230,mehamn,71.0357,27.8492,-1.03,86,75,9.26,NO,1677226358
231,paamiut,61.994,-49.6678,-4.29,92,100,6.05,GL,1677225936
232,phalombe,-15.8064,35.6507,25.29,72,90,1.11,MW,1677226132
233,usak,38.5,29.4167,10.99,48,100,1.59,TR,1677226132
234,petropavlovsk-kamchatskiy,53.0452,158.6483,-12.9,78,85,1.57,RU,1677226133
235,gisborne,-38.6533,178.0042,16.5,92,100,6.95,NZ,1677226133
236,stornoway,58.2093,-6.3865,5.52,90,20,3.09,GB,1677226133
237,paramonga,-10.6667,-77.8333,23.01,81,100,2.67,PE,1677226134
238,omboue,-1.5746,9.2618,25.88,83,100,0.73,GA,1677226134
239,nyurba,63.2842,118.3319,-13.4,95,100,2.23,RU,1677225934
240,estelle,29.8458,-90.1067,22.0,95,100,2.57,US,1677226135
241,kropotkin,45.4375,40.5756,-0.47,38,6,3.55,RU,1677226135
242,svetlogorsk,52.6333,29.7333,0.09,76,100,7.14,BY,1677226135
243,portland,45.5234,-122.6762,-3.01,66,0,10.29,US,1677225514
244,ribeira grande,38.5167,-28.7,14.22,72,40,5.66,PT,1677225883
245,norman wells,65.282,-126.8329,-17.98,78,100,1.54,CA,1677225932
246,anandpur sahib,31.25,76.5,29.05,15,13,3.59,IN,1677226135
247,koungou,-12.7336,45.2042,24.84,94,75,4.12,YT,1677226136
248,dawlatabad,36.4141,64.9053,19.77,26,85,1.18,AF,1677226136
249,mukhen,48.1,136.1,-10.91,90,77,2.83,RU,1677226137
250,san vicente,-26.6167,-54.1333,16.76,100,100,0.75,AR,1677226137
251,kankan,10.3854,-9.3057,24.64,38,46,2.16,GN,1677226137
252,mpanda,-6.3655,31.0409,18.66,96,100,1.01,TZ,1677226138
253,tautira,-17.7333,-149.15,27.68,73,100,2.53,PF,1677226139
254,suaza,1.9761,-75.7945,17.12,84,69,0.89,CO,1677226139
255,mayo,38.8876,-76.5119,19.17,58,0,3.09,US,1677225944
256,pevek,69.7008,170.3133,-25.12,94,100,5.45,RU,1677225858
257,road town,18.4167,-64.6167,24.05,64,35,8.43,VG,1677226026
258,sambava,-14.2667,50.1667,28.31,66,64,4.7,MG,1677225903
259,lavrentiya,65.5833,-171.0,-19.54,92,9,3.1,RU,1677225874
260,howard springs,-12.497,131.047,27.95,96,100,2.5,AU,1677226141
261,bereda,43.2686,-7.5406,0.64,100,100,0.59,ES,1677226141
262,gravdal,68.1214,13.5031,0.94,64,40,8.75,NO,1677226142
263,skjervoy,70.0311,20.9714,-3.0,70,100,11.79,NO,1677226018
264,loikaw,19.6742,97.2094,32.71,12,0,1.21,MM,1677226142
265,muli,2.9167,73.5667,27.46,66,62,2.62,MV,1677225794
266,seymchan,62.8833,152.4333,-23.58,97,100,1.93,RU,1677226025
267,nakusp,50.2499,-117.8023,-15.24,94,100,0.82,CA,1677226143
268,georgetown,5.4112,100.3354,32.96,62,20,3.6,MY,1677225738
269,bethel,41.3712,-73.414,3.83,87,100,0.0,US,1677225608
270,zhanaozen,43.3,52.8,-0.98,46,14,5.3,KZ,1677226143
271,simbahan,6.3032,120.5836,27.34,80,96,3.65,PH,1677225928
272,svetlaya,46.5389,138.3297,-3.88,48,91,2.01,RU,1677226144
273,amboasary,-25.0333,46.3833,34.84,41,75,1.12,MG,1677226144
274,mao,39.8885,4.2658,11.31,93,20,0.0,ES,1677226144
275,rupert,42.6191,-113.6772,-5.03,63,100,5.14,US,1677225998
276,kungurtug,50.5994,97.5228,-2.93,75,16,0.59,RU,1677226145
277,sur,22.5667,59.5289,29.44,29,1,0.97,OM,1677225908
278,gat,31.61,34.7642,17.1,100,98,0.65,IL,1677225917
279,lima,-12.0432,-77.0282,23.28,81,40,3.09,PE,1677226305
280,oussouye,12.485,-16.5469,21.57,41,32,3.09,SN,1677226146
281,constitucion,-35.3333,-72.4167,14.22,82,2,2.21,CL,1677225820
282,aykhal,66.0,111.5,-10.4,95,100,3.2,RU,1677225887
283,mokhsogollokh,61.4681,128.9203,-20.9,93,98,2.24,RU,1677225982
284,pemangkat,1.1667,108.9667,27.05,84,100,5.8,ID,1677226146
285,marsabit,2.3284,37.9899,24.54,44,100,7.88,KE,1677226147
286,virginia beach,36.8529,-75.978,20.04,84,40,3.6,US,1677226030
287,bintulu,3.1667,113.0333,27.88,77,100,4.21,MY,1677226109
288,lodja,-3.4833,23.4333,27.84,54,99,1.66,CD,1677226147
289,zhurivka,50.5028,31.7849,-0.87,53,100,8.77,UA,1677226148
290,sinnamary,5.3833,-52.95,24.42,88,87,4.53,GF,1677226019
291,salaga,8.5508,-0.5188,28.6,62,100,3.12,GH,1677226148
292,volokolamsk,56.0336,35.9694,-5.93,95,100,5.42,RU,1677226149
293,saint anthony,45.0205,-93.218,-19.04,81,0,1.54,US,1677225868
294,manali,13.1667,80.2667,32.05,66,0,4.77,IN,1677226149
295,kadoma,34.7333,135.5833,7.55,72,100,1.28,JP,1677226149
296,yulara,-25.2406,130.9889,37.56,16,67,2.07,AU,1677225850
297,santa lucia,27.9117,-15.5407,11.62,64,20,3.6,ES,1677225959
298,foshan,23.0268,113.1315,23.86,35,1,6.16,CN,1677226150
299,kandrian,-6.2167,149.55,27.31,83,100,4.61,PG,1677225891
300,longyearbyen,78.2186,15.6401,0.91,75,75,6.17,SJ,1677225910
301,zhangjiakou,40.81,114.8794,-0.83,25,0,5.24,CN,1677226151
302,cochrane,51.1834,-114.4687,-29.65,76,100,2.57,CA,1677226151
303,matagami,49.7502,-77.6328,-28.44,96,100,2.82,CA,1677226152
304,ugoofaaru,5.6667,73.0,27.18,67,45,4.9,MV,1677226152
305,nagua,19.3832,-69.8474,22.68,76,99,2.8,DO,1677225891
306,sault sainte marie,46.5168,-84.3333,-18.84,71,0,0.0,CA,1677226152
307,codrington,-38.2667,141.9667,27.13,41,100,6.8,AU,1677225968
308,ponta delgada,37.7333,-25.6667,15.4,82,75,6.69,PT,1677225977
309,gizo,-8.103,156.8419,28.81,70,99,1.17,SB,1677226153
310,bonaventure,48.0457,-65.4926,-15.68,95,100,1.03,CA,1677226153
311,gilleleje,56.122,12.3106,2.8,89,100,10.61,DK,1677226154
312,carballo,43.213,-8.691,3.84,92,98,1.27,ES,1677226154
313,puerto escondido,15.85,-97.0667,24.21,83,11,1.09,MX,1677225837
314,hovd,48.0056,91.6419,-7.64,70,14,1.72,MN,1677226154
315,wamba,8.9333,8.6,29.91,15,30,2.36,NG,1677226155
316,seoul,37.5683,126.9778,7.66,18,0,5.34,KR,1677226352
317,mollendo,-17.0231,-72.0147,21.94,85,100,2.79,PE,1677226155
318,loandjili,-4.7561,11.8578,25.36,88,100,1.61,CG,1677226156
319,teya,60.3778,92.6267,0.1,94,100,4.51,RU,1677226156
320,chanute,37.6792,-95.4572,-4.18,63,0,5.66,US,1677226157
321,williston,48.147,-103.618,-27.76,79,73,0.92,US,1677226157
322,tartagal,-22.5164,-63.8013,19.81,90,38,1.58,AR,1677226157
323,los llanos de aridane,28.6585,-17.9182,11.86,72,0,3.09,ES,1677225874
324,lishui,28.4604,119.9103,7.58,83,100,2.19,CN,1677226158
325,ballina,-28.8667,153.5667,21.12,90,94,5.85,AU,1677226158
